gene,isoform,mean_nuc_L_tpm
AT2G21660,AT2G21660_s3,897.4717656666667
AT4G39260,AT4G39260_JC13,700.7165410000001
AT1G25098,AT1G25098_ID1,425.21585000000005
AT1G24825,AT1G24825_ID1,232.07791933333337
AT3G61860,AT3G61860_ID2,194.2433136666667
AT4G20850,AT4G20850_ID12,161.27932966666665
AT1G02840,AT1G02840_s1,161.256308
AT4G36690,AT4G36690_P3,155.7234096666667
AT4G36690,AT4G36690_P2,152.27263866666667
AT5G40450,AT5G40450_P1,149.701122
AT2G45380,AT2G45380_P2,149.20458799999997
AT4G19160,AT4G19160_P4,136.22569866666666
AT1G64790,AT1G64790_P3,127.35386133333333
AT5G25560,AT5G25560.4,127.09265233333333
AT3G50670,AT3G50670.2,126.51081700000002
AT1G13390,AT1G13390_P1,119.009284
AT3G14660,AT3G14660_P2,117.36758100000002
AT4G26630,AT4G26630_c1,105.86287333333333
AT3G57300,AT3G57300_s1,101.55148333333334
AT3G26510,AT3G26510_P7,100.63649400000001
AT3G13570,AT3G13570_CR2,96.24412
AT1G30970,AT1G30970_s2,94.32318833333333
AT5G24670,AT5G24670_c3,91.923818
AT2G25900,AT2G25900_ID1,89.65465333333333
AT2G01450,AT2G01450_ID30,87.86905533333334
AT1G10890,AT1G10890_JS3,87.51375966666667
AT4G18120,AT4G18120_ID119,86.55773233333332
AT4G16280,AT4G16280_JC3,85.21659033333333
AT3G30775,AT3G30775_P2,83.85189566666666
AT5G63370,AT5G63370_P1,83.19772333333333
AT5G64570,AT5G64570_P3,81.04657933333333
AT2G04690,AT2G04690_P3,79.92400033333334
AT3G59990,AT3G59990_c1,79.507155
AT1G28330,AT1G28330_P6,75.91862466666667
AT4G25170,AT4G25170_ID2,74.99849933333333
AT1G70620,AT1G70620_P4,73.81257933333335
AT2G30600,AT2G30600_ID91,73.013912
AT3G20250,AT3G20250_ID4,71.20540566666666
AT5G25770,AT5G25770_ID6,70.60155133333332
AT1G52710,AT1G52710_ID4,69.17433666666666
AT3G49430,AT3G49430_P6,62.51158
