GO_ID,Name,Namespace,FDR,Study_count,Pop_count
GO:0005634,nucleus,CC,5.626572901695548e-11,724,8160
GO:0050789,regulation of biological process,BP,1.931944186293523e-10,350,3409
GO:0005515,protein binding,MF,1.931944186293523e-10,462,4801
GO:0065007,biological regulation,BP,9.47164032511169e-10,358,3555
GO:0005488,binding,MF,2.072668712808409e-09,596,6621
GO:0008150,biological_process,BP,6.424132281553063e-08,841,10088
GO:0019222,regulation of metabolic process,BP,1.979483199728509e-07,198,1794
GO:0003674,molecular_function,MF,1.979483199728509e-07,841,10146
GO:0050794,regulation of cellular process,BP,2.0880505581610323e-07,292,2914
GO:0060255,regulation of macromolecule metabolic process,BP,1.8003551223007935e-06,168,1503
GO:0005737,cytoplasm,CC,1.8541097330316286e-06,316,3273
GO:0000398,"mRNA splicing, via spliceosome",BP,7.118840524239864e-06,21,71
GO:0010468,regulation of gene expression,BP,1.0585596196314019e-05,152,1367
GO:0010556,regulation of macromolecule biosynthetic process,BP,1.108367681282486e-05,156,1410
GO:0009889,regulation of biosynthetic process,BP,1.7531547703193988e-05,167,1550
GO:0050896,response to stimulus,BP,5.344651819175001e-05,375,4142
GO:0048518,positive regulation of biological process,BP,6.771652387871793e-05,101,840
GO:0009987,cellular process,BP,0.0001285227035546246,585,6954
GO:0043229,intracellular organelle,CC,0.00012872083242145967,1205,15761
GO:0043226,organelle,CC,0.0001620991583935414,1205,15768
GO:0006950,response to stress,BP,0.0001867615163770002,259,2732
GO:0043231,intracellular membrane-bounded organelle,CC,0.00020430821090985227,1193,15608
GO:0043227,membrane-bounded organelle,CC,0.00022461951334597325,1193,15615
GO:0006397,mRNA processing,BP,0.0002475672853138714,27,135
GO:0009579,thylakoid,CC,0.00047506125530682135,5,351
GO:0140168,nuclear ribonucleoprotein granule,CC,0.0005527592200043828,17,65
GO:0010629,negative regulation of gene expression,BP,0.0006194658210566309,38,236
GO:0048578,"positive regulation of long-day photoperiodism, flowering",BP,0.0006246067071663062,7,11
GO:0000375,"RNA splicing, via transesterification reactions",BP,0.0007343028039835442,21,96
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",BP,0.0007343028039835442,21,96
GO:0040029,epigenetic regulation of gene expression,BP,0.000794095136414723,27,145
GO:0016607,nuclear speck,CC,0.000794095136414723,15,54
GO:0010558,negative regulation of macromolecule biosynthetic process,BP,0.000870994995473219,54,395
GO:0050793,regulation of developmental process,BP,0.001057237239364016,88,756
GO:0008380,RNA splicing,BP,0.0010776467804422289,27,148
GO:0110165,cellular anatomical structure,CC,0.0012031746362635464,1429,19346
GO:0009890,negative regulation of biosynthetic process,BP,0.001296116915279693,55,413
GO:0010605,negative regulation of macromolecule metabolic process,BP,0.001296116915279693,57,433
GO:0016604,nuclear body,CC,0.001296116915279693,20,93
GO:0140096,"catalytic activity, acting on a protein",MF,0.0014241337336738536,112,1038
GO:0009892,negative regulation of metabolic process,BP,0.0016662661595924536,61,481
GO:0006338,chromatin remodeling,BP,0.0021288948752889647,29,169
GO:0002376,immune system process,BP,0.0021288948752889647,31,190
GO:0042170,plastid membrane,CC,0.00294717351881169,11,453
GO:0099080,supramolecular complex,CC,0.003064445720417875,47,346
