# Supplementary Table S1. Candidate lncRNA-mRNA isoforms identified by empiAS.
# 2016 isoforms from 1593 genes in Arabidopsis thaliana (AtRTDv2.1_QUASI.LS reference transcriptome).
# Selection criteria: not translated (polyribosome TPM <= 1.0 in at least one replicate); not NMD-sensitive
# (empiAS FDR >= 0.05 in all four NMD comparisons); nuclear-enriched (empiAS FDR < 0.05 and logFC > 0
# in Nuclear Light vs Nuclear Dark comparison); from multi-isoform genes only.
# Column descriptions:
#   gene                  - TAIR gene identifier (e.g. AT3G61860)
#   isoform               - AtRTDv2.1_QUASI.LS isoform identifier (e.g. AT3G61860_ID2)
#   Mean_Nuc_L_TPM        - Mean TPM across the three Nuclear Light replicates (SALMON v1.10.0 quantification)
#   logFC_NucD_vs_NucL    - log2 fold change (Nuclear Dark / Nuclear Light); positive values indicate dark-nuclear enrichment
#   p_value               - empiAS empirical p-value (one-tailed; local window N=1000; logFC cutoff=0.5)
#   FDR_BH                - Benjamini-Hochberg adjusted p-value (false discovery rate)
# Rows are sorted by descending Mean_Nuc_L_TPM.
gene,isoform,Mean_Nuc_L_TPM,logFC_NucD_vs_NucL,p_value,FDR_BH
AT2G21660,AT2G21660_s3,897.472,1.2919,0.042957,0.049398
AT4G39260,AT4G39260_JC13,700.717,2.4486,0.006993,0.023226
AT1G25098,AT1G25098_ID1,425.216,1.6708,0.021479,0.036572
AT1G24825,AT1G24825_ID1,232.078,2.1613,0.008991,0.025602
AT3G61860,AT3G61860_ID2,194.243,1.7166,0.020979,0.036572
AT4G20850,AT4G20850_ID12,161.279,1.8229,0.016983,0.034724
AT1G02840,AT1G02840_s1,161.256,1.1894,0.047453,0.049398
AT4G36690,AT4G36690_P3,155.723,1.2373,0.046454,0.049398
AT4G36690,AT4G36690_P2,152.273,1.2062,0.046454,0.049398
AT5G40450,AT5G40450_P1,149.701,3.9492,0.0005,0.007142
AT2G45380,AT2G45380_P2,149.205,1.5461,0.026474,0.040904
AT4G19160,AT4G19160_P4,136.226,1.1476,0.04995,0.04995
AT1G64790,AT1G64790_P3,127.354,1.1929,0.047453,0.049398
AT5G25560,AT5G25560.4,127.093,1.8812,0.014985,0.031501
AT3G50670,AT3G50670.2,126.511,1.5344,0.027473,0.040904
AT1G13390,AT1G13390_P1,119.009,1.6659,0.021479,0.036572
AT3G14660,AT3G14660_P2,117.368,1.8582,0.014985,0.031501
AT4G26630,AT4G26630_c1,105.863,1.2229,0.046454,0.049398
AT3G57300,AT3G57300_s1,101.551,2.6244,0.004995,0.018964
AT3G26510,AT3G26510_P7,100.636,1.9139,0.014985,0.031501
AT3G13570,AT3G13570_CR2,96.244,1.8977,0.014985,0.031501
AT1G30970,AT1G30970_s2,94.323,2.0231,0.010989,0.028114
AT5G24670,AT5G24670_c3,91.924,1.9526,0.012987,0.030233
AT2G25900,AT2G25900_ID1,89.655,2.2229,0.008991,0.025602
AT2G01450,AT2G01450_ID30,87.869,2.3838,0.006993,0.023226
AT1G10890,AT1G10890_JS3,87.514,1.3535,0.037962,0.047417
AT4G18120,AT4G18120_ID119,86.558,1.3228,0.040959,0.049398
AT4G16280,AT4G16280_JC3,85.217,2.0211,0.010989,0.028114
AT3G30775,AT3G30775_P2,83.852,3.2749,0.0005,0.007142
AT5G63370,AT5G63370_P1,83.198,1.2433,0.046454,0.049398
AT5G64570,AT5G64570_P3,81.047,1.2013,0.047453,0.049398
AT2G04690,AT2G04690_P3,79.924,2.4495,0.006993,0.023226
AT3G59990,AT3G59990_c1,79.507,1.4832,0.028971,0.042262
AT1G28330,AT1G28330_P6,75.919,2.0058,0.011988,0.029118
AT4G25170,AT4G25170_ID2,74.998,1.2303,0.046454,0.049398
AT1G70620,AT1G70620_P4,73.813,1.183,0.047952,0.049398
AT2G30600,AT2G30600_ID91,73.014,1.64,0.021479,0.036572
AT3G20250,AT3G20250_ID4,71.205,1.3006,0.042458,0.049398
AT5G25770,AT5G25770_ID6,70.602,1.6562,0.021479,0.036572
AT1G52710,AT1G52710_ID4,69.174,2.559,0.004995,0.018964
AT3G49430,AT3G49430_P6,62.512,1.182,0.047952,0.049398
AT3G12080,AT3G12080.2,62.475,1.2736,0.043956,0.049398
AT3G46130,AT3G46130_ID1,61.3,1.7387,0.02048,0.036572
AT1G55310,AT1G55310_CR7,60.428,2.3483,0.007493,0.024245
AT1G20920,AT1G20920_P3,59.811,2.0328,0.010989,0.028114
AT1G56280,AT1G56280.1,57.629,1.977,0.011988,0.029118
AT1G60900,AT1G60900_JC3,57.34,1.1762,0.047952,0.049398
AT3G27260,AT3G27260_s2,56.83,1.3876,0.036464,0.047213
AT1G27520,AT1G27520_ID11,56.82,1.9625,0.012488,0.029793
AT1G29357,AT1G29357_ID7,56.306,1.4041,0.034466,0.046045
AT2G02570,AT2G02570_ID33,55.921,2.5768,0.004995,0.018964
AT3G48360,AT3G48360_s1,54.425,2.0958,0.009491,0.025647
AT1G21770,AT1G21770_ID2,53.285,1.9534,0.012987,0.030233
AT2G16940,AT2G16940_P4,52.654,1.2395,0.046454,0.049398
AT5G59780,AT5G59780_ID1,52.172,2.0055,0.011988,0.029118
AT1G09140,AT1G09140_ID157,51.8,1.5454,0.026474,0.040904
AT2G22980,AT2G22980_ID17,51.719,3.0495,0.000999,0.0106
AT4G33150,AT4G33150_P4,50.023,2.5773,0.004995,0.018964
AT1G43670,AT1G43670_ID24,49.689,1.325,0.040959,0.049398
AT1G10890,AT1G10890_P2,49.425,2.499,0.005994,0.021578
AT1G49500,AT1G49500_JS1,49.338,3.7481,0.0005,0.007142
AT1G53780,AT1G53780_P3,48.596,2.359,0.006993,0.023226
AT1G27590,AT1G27590.1,48.084,2.0976,0.009491,0.025647
AT2G13360,AT2G13360_P3,47.426,2.5063,0.005994,0.021578
AT1G80980,AT1G80980_P1,47.426,1.3451,0.037962,0.047417
AT5G27150,AT5G27150_ID3,46.986,2.077,0.01049,0.027715
AT4G36980,AT4G36980_ID23,45.465,1.9555,0.012987,0.030233
AT1G27520,AT1G27520_ID5,44.613,1.6124,0.022977,0.037783
AT5G21930,AT5G21930_P4,43.901,1.7826,0.018482,0.036244
AT2G29140,AT2G29140_ID2,43.808,2.0388,0.010989,0.028114
AT3G21215,AT3G21215_P1,43.791,1.3603,0.037962,0.047417
AT3G02260,AT3G02260_JS7,43.697,2.1439,0.009491,0.025647
AT3G13224,AT3G13224_P1,43.332,1.7251,0.020979,0.036572
AT5G03830,AT5G03830_s3,43.2,1.1832,0.047952,0.049398
AT1G80380,AT1G80380_P5,43.049,2.0268,0.010989,0.028114
AT1G60900,AT1G60900_ID15,42.57,1.9549,0.012987,0.030233
AT3G13340,AT3G13340_ID57,42.473,1.9919,0.011988,0.029118
AT5G27950,AT5G27950_c1,42.304,1.1761,0.047952,0.049398
AT1G10910,AT1G10910_P2,41.966,1.2374,0.046454,0.049398
AT3G61440,AT3G61440_P4,41.577,1.6445,0.021479,0.036572
AT3G04160,AT3G04160_P1,41.359,1.8368,0.015485,0.032215
AT1G20620,AT1G20620.2,41.042,1.8784,0.014985,0.031501
AT1G09140,AT1G09140_ID155,40.781,2.6208,0.004995,0.018964
AT3G14990,AT3G14990.2,40.733,2.1758,0.008991,0.025602
AT4G16990,AT4G16990_ID21,40.44,1.4499,0.030969,0.04369
AT5G51410,AT5G51410_P2,40.084,1.7382,0.02048,0.036572
AT3G24100,AT3G24100_s1,39.666,1.223,0.046454,0.049398
AT1G79790,AT1G79790_P2,39.416,1.5425,0.026474,0.040904
AT4G36440,AT4G36440_ID6,39.117,1.6716,0.021479,0.036572
AT5G25560,AT5G25560_ID13,38.872,1.2196,0.046454,0.049398
AT3G05160,AT3G05160_ID90,37.895,2.1515,0.008991,0.025602
AT2G26510,AT2G26510_P3,37.833,1.1854,0.047952,0.049398
AT3G07780,AT3G07780_ID3,37.828,2.2685,0.007992,0.024711
AT3G56860,AT3G56860_P3,37.717,2.6904,0.003497,0.014655
AT1G56612,AT1G56612_ID2,37.69,1.4313,0.032468,0.044497
AT1G20620,AT1G20620.5,37.389,1.4869,0.028472,0.041684
AT4G39260,AT4G39260_s1,37.378,1.9903,0.011988,0.029118
AT3G20410,AT3G20410_P1,36.942,2.0131,0.011489,0.028951
AT1G58180,AT1G58180_P3,36.827,2.8822,0.002498,0.010645
AT1G55310,AT1G55310_P4,36.554,2.1848,0.008991,0.025602
AT2G05185,AT2G05185_ID4,36.407,1.3737,0.036464,0.047213
AT1G69450,AT1G69450_P3,36.395,1.7793,0.018482,0.036244
AT1G30230,AT1G30230_ID3,36.252,1.2149,0.046454,0.049398
AT4G36980,AT4G36980_ID22,35.699,1.2029,0.047453,0.049398
AT3G26890,AT3G26890_P1,35.578,2.4469,0.006993,0.023226
AT4G35410,AT4G35410_ID1,35.404,1.8679,0.014985,0.031501
AT3G02300,AT3G02300_ID3,35.344,2.5924,0.004995,0.018964
AT1G02300,AT1G02300_ID11,34.974,2.4571,0.006494,0.022926
AT2G18960,AT2G18960_P2,34.895,2.2619,0.008492,0.025602
AT1G43850,AT1G43850_ID9,34.44,1.7718,0.018981,0.036572
AT1G29357,AT1G29357_ID5,34.372,1.5493,0.026474,0.040904
AT3G56860,AT3G56860_P1,34.333,1.1899,0.047453,0.049398
AT5G26980,AT5G26980_ID10,34.219,1.5629,0.025974,0.040904
AT5G56380,AT5G56380_P1,34.087,1.2694,0.043956,0.049398
AT4G32850,AT4G32850_P4,33.692,1.4096,0.034466,0.046045
AT3G25840,AT3G25840_ID21,33.46,1.8105,0.017982,0.035857
AT4G16520,AT4G16520_P3,33.19,2.1108,0.009491,0.025647
AT5G05310,AT5G05310_P9,33.071,2.4613,0.006494,0.022926
AT4G07507,AT4G07507_JS12,32.841,1.9951,0.011988,0.029118
AT5G46410,AT5G46410_P3,32.713,1.9308,0.013986,0.031501
AT4G25500,AT4G25500_CR3,32.28,2.1981,0.008991,0.025602
AT3G13920,AT3G13920.4,32.216,1.2464,0.046454,0.049398
AT3G11280,AT3G11280_ID2,32.167,1.1517,0.04995,0.04995
AT1G10940,AT1G10940.2,32.002,1.7514,0.01998,0.036572
AT3G26690,AT3G26690_P2,31.999,1.8495,0.014985,0.031501
AT1G05805,AT1G05805_ID1,31.996,1.8015,0.017982,0.035857
AT1G20920,AT1G20920_P4,31.933,2.3992,0.006993,0.023226
AT2G03780,AT2G03780_P2,31.719,1.3373,0.03996,0.049398
AT3G51840,AT3G51840_s2,31.316,3.1043,0.0005,0.007142
AT3G57170,AT3G57170_P1,31.246,1.4063,0.034466,0.046045
AT1G32460,AT1G32460_ID2,31.144,2.7216,0.002498,0.010645
AT3G45240,AT3G45240_P1,31.12,1.9679,0.012488,0.029793
AT4G36690,AT4G36690_JC2,30.995,2.1881,0.008991,0.025602
AT3G06080,AT3G06080_P1,30.665,2.5953,0.004995,0.018964
AT2G05440,AT2G05440_P7,30.379,2.0775,0.01049,0.027715
AT3G26890,AT3G26890_P8,30.108,2.1062,0.009491,0.025647
AT2G42330,AT2G42330_ID2,29.76,2.344,0.007493,0.024245
AT3G48360,AT3G48360_P3,29.726,2.5311,0.005495,0.020287
AT1G05830,AT1G05830_JC5,29.57,1.1839,0.047952,0.049398
AT1G16180,AT1G16180_JS3,29.424,1.4809,0.028971,0.042262
AT5G52040,AT5G52040_P5,29.117,1.6443,0.021479,0.036572
AT5G25770,AT5G25770.1,28.977,1.9719,0.012488,0.029793
AT3G61180,AT3G61180_ID2,28.967,1.5395,0.026973,0.040904
AT5G66030,AT5G66030_ID125,28.954,1.3415,0.038961,0.048545
AT5G05000,AT5G05000_P3,28.942,1.1759,0.047952,0.049398
AT2G46020,AT2G46020_P6,28.764,1.3096,0.041958,0.049398
AT1G21920,AT1G21920_P2,28.542,1.2838,0.043457,0.049398
AT3G10250,AT3G10250_P3,28.46,1.5525,0.026474,0.040904
AT4G03110,AT4G03110_P3,28.411,1.4225,0.032967,0.044998
AT1G03080,AT1G03080_P3,28.363,2.0125,0.011489,0.028951
AT5G20920,AT5G20920.3,28.069,1.2386,0.046454,0.049398
AT2G45830,AT2G45830_P2,28.021,2.0092,0.011988,0.029118
AT5G66040,AT5G66040_ID3,27.69,1.5716,0.023976,0.038362
AT3G14990,AT3G14990_c1,27.66,1.9717,0.012488,0.029793
AT5G13710,AT5G13710_ID3,27.443,3.3199,0.0005,0.007142
AT5G63160,AT5G63160_s3,27.293,1.6543,0.021479,0.036572
AT2G05380,AT2G05380.2,27.252,2.0612,0.01049,0.027715
AT3G14205,AT3G14205_P2,26.875,1.3117,0.041958,0.049398
AT2G32320,AT2G32320.2,26.775,2.1224,0.009491,0.025647
AT5G10860,AT5G10860_ID8,26.74,2.6187,0.004995,0.018964
AT2G14170,AT2G14170_ID39,26.683,2.5849,0.004995,0.018964
AT1G20920,AT1G20920_P7,26.486,1.2424,0.046454,0.049398
AT2G23980,AT2G23980_ID6,26.468,1.2178,0.046454,0.049398
AT1G02840,AT1G02840_c2,26.314,2.5528,0.004995,0.018964
AT5G10350,AT5G10350_JS2,26.249,2.5455,0.005495,0.020287
AT5G58410,AT5G58410_c1,26.009,2.2124,0.008991,0.025602
AT1G27290,AT1G27290_ID2,25.856,1.3549,0.037962,0.047417
AT2G14260,AT2G14260_P2,25.822,2.5655,0.004995,0.018964
AT3G06290,AT3G06290_JS20,25.607,1.2441,0.046454,0.049398
AT1G58030,AT1G58030_c1,25.593,2.3665,0.006993,0.023226
AT3G26510,AT3G26510_P6,25.571,4.6637,0.0005,0.007142
AT2G14170,AT2G14170.3,25.512,3.5375,0.0005,0.007142
AT1G02840,AT1G02840_s2,25.376,1.2001,0.047453,0.049398
AT1G04510,AT1G04510_ID7,25.322,1.3585,0.037962,0.047417
AT5G65380,AT5G65380_JS1,25.055,2.542,0.005495,0.020287
AT5G62950,AT5G62950_P4,24.995,1.631,0.022478,0.037783
AT3G11540,AT3G11540_ID2,24.957,1.8649,0.014985,0.031501
AT5G57565,AT5G57565_P2,24.806,2.5164,0.005495,0.020287
AT1G78240,AT1G78240_ID10,24.719,1.3393,0.03996,0.049398
AT2G01530,AT2G01530_P1,24.491,1.6472,0.021479,0.036572
AT3G14610,AT3G14610_P1,24.417,1.4695,0.02997,0.043188
AT1G18950,AT1G18950_P1,24.388,2.0406,0.010989,0.028114
AT3G47250,AT3G47250_ID2,24.009,1.4519,0.030969,0.04369
AT4G11830,AT4G11830.1,23.582,1.8627,0.014985,0.031501
AT3G04500,AT3G04500_c2,23.574,1.9497,0.012987,0.030233
AT3G61010,AT3G61010_ID80,23.441,2.2626,0.008492,0.025602
AT4G18710,AT4G18710_P2,23.429,1.2456,0.046454,0.049398
AT4G33625,AT4G33625_ID1,23.283,1.1824,0.047952,0.049398
AT1G20920,AT1G20920_P6,23.197,1.1784,0.047952,0.049398
AT5G58720,AT5G58720_ID16,23.042,1.5298,0.027473,0.040904
AT4G31880,AT4G31880_c1,23.026,1.4151,0.033966,0.045834
AT1G04300,AT1G04300_ID71,22.981,1.8237,0.016983,0.034724
AT1G25175,AT1G25175_ID1,22.926,1.8887,0.014985,0.031501
AT5G05140,AT5G05140_s1,22.791,1.1651,0.048452,0.049734
AT3G50750,AT3G50750_ID2,22.758,1.2484,0.045455,0.049398
AT3G13750,AT3G13750_s1,22.7,3.8295,0.0005,0.007142
AT4G01450,AT4G01450_P4,22.628,1.4505,0.030969,0.04369
AT4G13460,AT4G13460_P2,22.42,2.3197,0.007493,0.024245
AT3G61060,AT3G61060_s1,22.409,3.4812,0.0005,0.007142
AT1G55810,AT1G55810_P3,22.404,5.7335,0.0005,0.007142
AT1G20920,AT1G20920_P5,22.342,1.9339,0.012987,0.030233
AT1G22930,AT1G22930.2,22.28,2.4479,0.006993,0.023226
AT5G18850,AT5G18850_ID2,22.27,2.0894,0.009491,0.025647
AT3G06450,AT3G06450_ID10,22.196,1.9703,0.012488,0.029793
AT5G10350,AT5G10350_c1,22.121,2.0795,0.01049,0.027715
AT1G02120,AT1G02120_ID36,22.046,1.1528,0.04995,0.04995
AT4G31570,AT4G31570_JC8,22.027,1.6388,0.021479,0.036572
AT1G53400,AT1G53400_ID1,22.026,2.5872,0.004995,0.018964
AT4G27090,AT4G27090_JC4,22.026,1.184,0.047952,0.049398
AT4G02430,AT4G02430.2,21.852,3.332,0.0005,0.007142
AT5G18640,AT5G18640_P2,21.613,2.5479,0.005495,0.020287
AT2G03640,AT2G03640_s1,21.61,1.3891,0.036464,0.047213
