gene,isoform,logFC,tpm_mean,pvalues
AT1G01010,AT1G01010.1,1.036004502805398,-inf,0.002497502497502524
AT1G01020,AT1G01020_P1,-0.02014293539565326,6.845749547937896,1.0
AT1G01020,AT1G01020_P2,,6.845749547937896,0.0
AT1G01020,AT1G01020_P3,0.21035107897026695,6.845749547937896,1.0
AT1G01020,AT1G01020_P4,,6.845749547937896,0.0
AT1G01020,AT1G01020_P5,,6.845749547937896,0.0
AT1G01030,AT1G01030.1,1.2339792565588974,-inf,0.0019980019980020414
AT1G01040,AT1G01040.2,0.602924386862278,6.18349803795135,0.12187812187812191
AT1G01040,AT1G01040_P1,0.7948829729347944,6.18349803795135,0.0904095904095904
AT1G01046,AT1G01046.1,,-inf,0.0
AT1G01050,AT1G01050_P1,0.36336458359214774,6.7487001266318325,1.0
AT1G01050,AT1G01050_P2,,6.7487001266318325,0.0
AT1G01050,AT1G01050_c1,-1.3928860439654827,6.7487001266318325,0.035464535464535485
AT1G01060,AT1G01060.2,,-inf,0.0
AT1G01060,AT1G01060.3,,-inf,0.0
AT1G01060,AT1G01060.4,,-inf,0.0
AT1G01060,AT1G01060.5,,-inf,0.0
AT1G01060,AT1G01060_ID6,,-inf,0.0
AT1G01060,AT1G01060_JS31,,-inf,0.0
AT1G01060,AT1G01060_P1,,-inf,0.0
AT1G01060,AT1G01060_P6,,-inf,0.0
AT1G01060,AT1G01060_P7,,-inf,0.0
AT1G01070,AT1G01070_P1,-1.899962900639256,3.9733131285568484,0.014985014985014977
AT1G01070,AT1G01070_P2,1.0292507423445532,3.9733131285568484,0.059940059940059964
AT1G01080,AT1G01080.2,,4.904765550517761,0.0
AT1G01080,AT1G01080_JS1,-1.5548214957818178,4.904765550517761,0.026473526473526465
AT1G01080,AT1G01080_P1,-1.1046486310072337,4.904765550517761,0.052947052947052986
AT1G01080,AT1G01080_P3,-2.519407838488069,4.904765550517761,0.0054945054945055305
AT1G01090,AT1G01090_P1,0.008013549134568088,7.045135166039347,1.0
AT1G01100,AT1G01100_P1,1.1582894879567545,7.536651422197736,0.04895104895104896
AT1G01100,AT1G01100_P2,0.8106441932627364,7.536651422197736,0.08741258741258745
AT1G01100,AT1G01100_P3,-0.5487264302249026,7.536651422197736,0.1318681318681319
AT1G01100,AT1G01100_P4,1.2511379203297435,7.536651422197736,0.04545454545454547
AT1G01110,AT1G01110_P1,,-inf,0.0
AT1G01110,AT1G01110_P2,1.5072899875929495,-inf,0.0019980019980020414
AT1G01110,AT1G01110_s1,3.797756890051758,-inf,0.0
AT1G01120,AT1G01120_P1,-2.1827857712108374,3.8086418822089967,0.00899100899100902
AT1G01120,AT1G01120_s1,,3.8086418822089967,0.0
AT1G01130,AT1G01130.1,,-inf,0.0
AT1G01130,AT1G01130_ID1,-0.36142847782993526,-inf,1.0
AT1G01140,AT1G01140.2,,4.535457266329573,0.0
AT1G01140,AT1G01140.3,,4.535457266329573,0.0
AT1G01140,AT1G01140_ID2,,4.535457266329573,0.0
AT1G01140,AT1G01140_ID5,,4.535457266329573,0.0
AT1G01140,AT1G01140_ID7,,4.535457266329573,0.0
AT1G01140,AT1G01140_P1,-1.2563237191034093,4.535457266329573,0.04495504495504499
AT1G01160,AT1G01160.1,-0.11806494704944459,6.0818169482034685,1.0
AT1G01160,AT1G01160.2,1.3703750604106077,6.0818169482034685,0.03696303696303699
AT1G01160,AT1G01160_s1,-0.18800563839646767,6.0818169482034685,1.0
AT1G01170,AT1G01170.1,2.0092938187305034,5.570306147872331,0.011988011988012026
AT1G01170,AT1G01170.2,0.9700353107005497,5.570306147872331,0.06493506493506496
AT1G01180,AT1G01180_P1,2.2859664547102083,3.9317177542209194,0.007992007992007999
AT1G01190,AT1G01190_P2,-3.868924762698127,2.790057112037751,0.0
AT1G01200,AT1G01200_P1,-0.2783136293135995,-inf,1.0
AT1G01210,AT1G01210_P3,0.2391254147224977,5.381194587279576,1.0
AT1G01220,AT1G01220_P1,,4.016533346931188,0.0
AT1G01220,AT1G01220_P2,-2.0732724768758706,4.016533346931188,0.010489510489510523
AT1G01220,AT1G01220_P3,,4.016533346931188,0.0
AT1G01220,AT1G01220_P4,,4.016533346931188,0.0
AT1G01220,AT1G01220_P5,-0.4561392742289452,4.016533346931188,1.0
AT1G01220,AT1G01220_P6,,4.016533346931188,0.0
AT1G01220,AT1G01220_P7,,4.016533346931188,0.0
AT1G01220,AT1G01220_P8,,4.016533346931188,0.0
AT1G01225,AT1G01225_P1,-2.8524555861922156,-inf,0.0004995004995005381
AT1G01230,AT1G01230_P1,0.7576326627732577,6.075627379781564,0.09540459540459545
AT1G01240,AT1G01240_P1,1.5992171023222612,5.205956680723038,0.023476523476523514
AT1G01240,AT1G01240_P2,-0.689800603852714,5.205956680723038,0.10539460539460543
AT1G01240,AT1G01240_P3,1.7544283707349817,5.205956680723038,0.019980019980020025
AT1G01240,AT1G01240_P4,,5.205956680723038,0.0
AT1G01250,AT1G01250_P1,-1.5225735254779238,-inf,0.0019980019980020414
AT1G01260,AT1G01260_ID2,,5.258612561676597,0.0
AT1G01260,AT1G01260_P1,1.0379180442445772,5.258612561676597,0.05944055944055948
AT1G01260,AT1G01260_P3,2.1700683869283983,5.258612561676597,0.00899100899100902
AT1G01290,AT1G01290_P1,-1.2524325699829233,6.7201508910138665,0.04495504495504499
AT1G01290,AT1G01290_P2,1.448804787706032,6.7201508910138665,0.03146853146853151
AT1G01300,AT1G01300_P1,-1.4659709487564152,6.286281659308508,0.02997002997003001
AT1G01300,AT1G01300_s1,-0.68929612603401,6.286281659308508,0.10539460539460543
AT1G01320,AT1G01320.1,-2.382298490282622,7.529249357439529,0.006993006993007034
AT1G01320,AT1G01320.2,-0.7573947629557329,7.529249357439529,0.09540459540459545
AT1G01320,AT1G01320_ID7,0.21969258524612378,7.529249357439529,1.0
AT1G01320,AT1G01320_ID8,,7.529249357439529,0.0
AT1G01320,AT1G01320_JC2,-1.1083128923127221,7.529249357439529,0.052947052947052986
AT1G01320,AT1G01320_JC3,-1.3812202532642721,7.529249357439529,0.036463536463536506
AT1G01320,AT1G01320_JS4,-0.9001587541558171,7.529249357439529,0.07442557442557446
AT1G01320,AT1G01320_JS6,,7.529249357439529,0.0
AT1G01340,AT1G01340.1,,-inf,0.0
AT1G01340,AT1G01340_JS2,,-inf,0.0
AT1G01340,AT1G01340_P2,-0.9374300639180155,-inf,0.002497502497502524
AT1G01350,AT1G01350_P1,-0.440814132472493,4.380795881915362,1.0
AT1G01355,AT1G01355_P3,0.03260699531565592,-inf,1.0
