gene,isoform,logFC,tpm_mean,pvalues,fdr
AT1G01010,AT1G01010.1,-0.4714977945114689,2.9375140195384346,1.0,1.0
AT1G01020,AT1G01020_P1,1.325390018716786,5.322426084824186,0.016483516483516484,0.027162051424875842
AT1G01020,AT1G01020_P2,,5.322426084824186,0.0,0.0
AT1G01020,AT1G01020_P3,3.188737219498932,5.322426084824186,0.0,0.0
AT1G01020,AT1G01020_P4,,5.322426084824186,0.0,0.0
AT1G01020,AT1G01020_P5,,5.322426084824186,0.0,0.0
AT1G01030,AT1G01030.1,1.9381084722071753,1.9042352992071276,0.09090909090909091,0.13336571222886784
AT1G01040,AT1G01040.2,2.989960656681269,4.927309445762004,0.0014985014985014985,0.0029060528630328584
AT1G01040,AT1G01040_P1,2.419864351278403,4.927309445762004,0.002997002997002997,0.005682938766225362
AT1G01046,AT1G01046.1,,-inf,0.0,0.0
AT1G01050,AT1G01050_P1,-0.24873405158150685,7.04154886737918,1.0,1.0
AT1G01050,AT1G01050_P2,,7.04154886737918,0.0,0.0
AT1G01050,AT1G01050_c1,-1.5888185864562683,7.04154886737918,0.000999000999000999,0.001955667464298449
AT1G01060,AT1G01060.2,,4.085675447098782,0.0,0.0
AT1G01060,AT1G01060.3,,4.085675447098782,0.0,0.0
AT1G01060,AT1G01060.4,,4.085675447098782,0.0,0.0
AT1G01060,AT1G01060.5,,4.085675447098782,0.0,0.0
AT1G01060,AT1G01060_ID6,,4.085675447098782,0.0,0.0
AT1G01060,AT1G01060_JS31,,4.085675447098782,0.0,0.0
AT1G01060,AT1G01060_P1,,4.085675447098782,0.0,0.0
AT1G01060,AT1G01060_P6,,4.085675447098782,0.0,0.0
AT1G01060,AT1G01060_P7,,4.085675447098782,0.0,0.0
AT1G01070,AT1G01070_P1,-0.3829369303635901,-inf,1.0,1.0
AT1G01070,AT1G01070_P2,,-inf,0.0,0.0
AT1G01080,AT1G01080.2,,4.335687715076797,0.0,0.0
AT1G01080,AT1G01080_JS1,1.409950469876826,4.335687715076797,0.03996003996003996,0.06242097492458451
AT1G01080,AT1G01080_P1,-0.9103227617728646,4.335687715076797,0.11338661338661339,0.16275237750812885
AT1G01080,AT1G01080_P3,,4.335687715076797,0.0,0.0
AT1G01090,AT1G01090_P1,-0.8592067926432474,7.358489816892546,0.007492507492507493,0.013024010051645015
AT1G01100,AT1G01100_P1,0.9151624101582261,7.891045699253243,0.004495504495504496,0.008251367931742524
AT1G01100,AT1G01100_P2,0.04316566724121529,7.891045699253243,1.0,1.0
AT1G01100,AT1G01100_P3,-0.8624605137986152,7.891045699253243,0.004995004995004995,0.009056941583589032
AT1G01100,AT1G01100_P4,-0.338960139363909,7.891045699253243,1.0,1.0
AT1G01110,AT1G01110_P1,,3.3838593319322623,0.0,0.0
AT1G01110,AT1G01110_P2,0.3351436603799902,3.3838593319322623,1.0,1.0
AT1G01110,AT1G01110_s1,,3.3838593319322623,0.0,0.0
AT1G01120,AT1G01120_P1,0.19979791115364653,-inf,1.0,1.0
AT1G01120,AT1G01120_s1,,-inf,0.0,0.0
AT1G01130,AT1G01130.1,,-inf,0.0,0.0
AT1G01130,AT1G01130_ID1,,-inf,0.0,0.0
AT1G01140,AT1G01140.2,,4.52769018746717,0.0,0.0
AT1G01140,AT1G01140.3,,4.52769018746717,0.0,0.0
AT1G01140,AT1G01140_ID2,,4.52769018746717,0.0,0.0
AT1G01140,AT1G01140_ID5,,4.52769018746717,0.0,0.0
AT1G01140,AT1G01140_ID7,,4.52769018746717,0.0,0.0
AT1G01140,AT1G01140_P1,-0.611359105186295,4.52769018746717,0.1848151848151848,0.25198047743163177
AT1G01160,AT1G01160.1,-0.8317975126141741,6.125834754849284,0.034465534465534464,0.05440523758828932
AT1G01160,AT1G01160.2,0.405801477465894,6.125834754849284,1.0,1.0
AT1G01160,AT1G01160_s1,3.892020884232466,6.125834754849284,0.0,0.0
AT1G01170,AT1G01170.1,-0.6231070176941529,7.003748742391058,0.035464535464535464,0.05588272781689618
AT1G01170,AT1G01170.2,-0.7223184560746625,7.003748742391058,0.01998001998001998,0.032578345213985435
AT1G01180,AT1G01180_P1,0.28201140470297936,4.980935249524723,1.0,1.0
AT1G01190,AT1G01190_P2,,-inf,0.0,0.0
AT1G01200,AT1G01200_P1,-0.04429480026406596,-inf,1.0,1.0
AT1G01210,AT1G01210_P3,2.3684573649454763,-inf,0.004495504495504496,0.008251367931742524
AT1G01220,AT1G01220_P1,,-inf,0.0,0.0
AT1G01220,AT1G01220_P2,-0.6678861605987672,-inf,0.22777222777222778,0.29795513412179675
AT1G01220,AT1G01220_P3,,-inf,0.0,0.0
AT1G01220,AT1G01220_P4,0.4489202217676751,-inf,1.0,1.0
AT1G01220,AT1G01220_P5,,-inf,0.0,0.0
AT1G01220,AT1G01220_P6,,-inf,0.0,0.0
AT1G01220,AT1G01220_P7,,-inf,0.0,0.0
AT1G01220,AT1G01220_P8,,-inf,0.0,0.0
AT1G01225,AT1G01225_P1,-0.664774760548906,-inf,0.22827172827172826,0.298291159766629
AT1G01230,AT1G01230_P1,1.093875731350984,5.799031635377198,0.014985014985014986,0.02484032683523996
AT1G01240,AT1G01240_P1,-1.0211841022849129,5.9489936383523885,0.016983016983016984,0.027945984781173685
AT1G01240,AT1G01240_P2,-0.3878857864751426,5.9489936383523885,1.0,1.0
AT1G01240,AT1G01240_P3,,5.9489936383523885,0.0,0.0
AT1G01240,AT1G01240_P4,0.04328299442002215,5.9489936383523885,1.0,1.0
AT1G01250,AT1G01250_P1,,-inf,0.0,0.0
AT1G01260,AT1G01260_ID2,,5.297235534591503,0.0,0.0
AT1G01260,AT1G01260_P1,1.4247362171796727,5.297235534591503,0.012987012987012988,0.021748884512800062
AT1G01260,AT1G01260_P3,-1.195477482106646,5.297235534591503,0.02047952047952048,0.03333653287011496
AT1G01290,AT1G01290_P1,2.1685621046487724,5.5848754956383395,0.0014985014985014985,0.0029060528630328584
AT1G01290,AT1G01290_P2,3.5166831761203725,5.5848754956383395,0.0,0.0
AT1G01300,AT1G01300_P1,1.029296817361355,5.059737031153319,0.043456543456543456,0.06746976976871931
AT1G01300,AT1G01300_s1,,5.059737031153319,0.0,0.0
AT1G01320,AT1G01320.1,0.2708944738134562,6.757320110123458,1.0,1.0
AT1G01320,AT1G01320.2,,6.757320110123458,0.0,0.0
AT1G01320,AT1G01320_ID7,1.7769613395884152,6.757320110123458,0.0004995004995004995,0.0009878794793974671
AT1G01320,AT1G01320_ID8,,6.757320110123458,0.0,0.0
AT1G01320,AT1G01320_JC2,-0.748566506522045,6.757320110123458,0.024475524475524476,0.03940721163472518
AT1G01320,AT1G01320_JC3,-1.4162504260961857,6.757320110123458,0.0024975024975024975,0.004768544317464267
AT1G01320,AT1G01320_JS4,,6.757320110123458,0.0,0.0
AT1G01320,AT1G01320_JS6,-0.0734097299804568,6.757320110123458,1.0,1.0
AT1G01340,AT1G01340.1,-1.2764178603170122,1.973408240903189,0.22227772227772227,0.29391624020076723
AT1G01340,AT1G01340_JS2,,1.973408240903189,0.0,0.0
AT1G01340,AT1G01340_P2,,1.973408240903189,0.0,0.0
AT1G01350,AT1G01350_P1,-0.6823907941224316,4.381027862326438,0.17032967032967034,0.23420221433794713
AT1G01355,AT1G01355_P3,-0.5210398665427393,-inf,0.4485514485514486,0.5592419703464232
AT1G01360,AT1G01360_P1,-1.0418462269564,5.158473192780929,0.03596403596403597,0.05661044420283203
AT1G01370,AT1G01370_P2,,-inf,0.0,0.0
AT1G01370,AT1G01370_P3,,-inf,0.0,0.0
AT1G01380,AT1G01380.1,-0.564397276665918,-inf,0.24675324675324675,0.31782744138094393
AT1G01390,AT1G01390_P2,,-inf,0.0,0.0
AT1G01420,AT1G01420_P2,-0.408392145837822,-inf,1.0,1.0
AT1G01430,AT1G01430_ID2,-0.8125727438181345,4.342461387281818,0.12087912087912088,0.17238627132648013
AT1G01430,AT1G01430_P1,0.493276907427985,4.342461387281818,1.0,1.0
AT1G01440,AT1G01440_JC9,-2.2337060897873555,4.493211432763817,0.004495504495504496,0.008251367931742524
AT1G01440,AT1G01440_P1,1.762317151993714,4.493211432763817,0.013986013986013986,0.023282047838916377
