gene,isoform,logFC,tpm_mean,pvalues
AT1G01010,AT1G01010.1,-1.724175445380581,3.4444341860076175,0.05344655344655347
AT1G01020,AT1G01020_P1,-0.6238839297444998,4.312287287991844,0.21978021978021978
AT1G01020,AT1G01020_P2,,4.312287287991844,0.0
AT1G01020,AT1G01020_P3,,4.312287287991844,0.0
AT1G01020,AT1G01020_P4,,4.312287287991844,0.0
AT1G01020,AT1G01020_P5,-0.13051118820370844,4.312287287991844,1.0
AT1G01030,AT1G01030.1,-2.2176265326375644,1.1767876783438214,0.039960039960039995
AT1G01040,AT1G01040.2,-1.4858354448551592,3.2663416314858877,0.07642357642357644
AT1G01040,AT1G01040_P1,-1.534929595016251,3.2663416314858877,0.07242757242757242
AT1G01046,AT1G01046.1,-2.5175421299985676,4.309896494316874,0.022477522477522494
AT1G01050,AT1G01050_P1,-1.6275160045856047,5.509704054293837,0.06493506493506496
AT1G01050,AT1G01050_P2,,5.509704054293837,0.0
AT1G01050,AT1G01050_c1,,5.509704054293837,0.0
AT1G01060,AT1G01060.2,-1.594868303272485,5.834380315479718,0.06693306693306694
AT1G01060,AT1G01060.3,0.8452349857844439,5.834380315479718,0.16833166833166835
AT1G01060,AT1G01060.4,0.654489062679172,5.834380315479718,0.2127872127872128
AT1G01060,AT1G01060.5,,5.834380315479718,0.0
AT1G01060,AT1G01060_ID6,,5.834380315479718,0.0
AT1G01060,AT1G01060_JS31,,5.834380315479718,0.0
AT1G01060,AT1G01060_P1,,5.834380315479718,0.0
AT1G01060,AT1G01060_P6,,5.834380315479718,0.0
AT1G01060,AT1G01060_P7,0.8914846039421036,5.834380315479718,0.16333666333666336
AT1G01070,AT1G01070_P1,,-0.1710246126078553,0.0
AT1G01070,AT1G01070_P2,,-0.1710246126078553,0.0
AT1G01080,AT1G01080.2,,4.085881443972704,0.0
AT1G01080,AT1G01080_JS1,,4.085881443972704,0.0
AT1G01080,AT1G01080_P1,-0.3824408704017017,4.085881443972704,1.0
AT1G01080,AT1G01080_P3,-1.892694454805209,4.085881443972704,0.047952047952047994
AT1G01090,AT1G01090_P1,-2.4175773422627396,5.705727183697931,0.02447552447552448
AT1G01100,AT1G01100_P1,-4.1306165856591495,6.029708699015861,0.004995004995004992
AT1G01100,AT1G01100_P2,-4.251489594995688,6.029708699015861,0.003996003996004027
AT1G01100,AT1G01100_P3,-2.04628339097496,6.029708699015861,0.04245754245754246
AT1G01100,AT1G01100_P4,,6.029708699015861,0.0
AT1G01110,AT1G01110_P1,,2.424728539382574,0.0
AT1G01110,AT1G01110_P2,1.726451995693457,2.424728539382574,0.06843156843156845
AT1G01110,AT1G01110_s1,,2.424728539382574,0.0
AT1G01120,AT1G01120_P1,0.5922380948479535,7.740244908592704,0.2282717282717283
AT1G01120,AT1G01120_s1,,7.740244908592704,0.0
AT1G01130,AT1G01130.1,3.168361301096665,5.5200812718977375,0.012487512487512509
AT1G01130,AT1G01130_ID1,3.4044026353368233,5.5200812718977375,0.010489510489510523
AT1G01140,AT1G01140.2,,6.23387615381413,0.0
AT1G01140,AT1G01140.3,,6.23387615381413,0.0
AT1G01140,AT1G01140_ID2,,6.23387615381413,0.0
AT1G01140,AT1G01140_ID5,,6.23387615381413,0.0
AT1G01140,AT1G01140_ID7,,6.23387615381413,0.0
AT1G01140,AT1G01140_P1,1.9738562692281292,6.23387615381413,0.04445554445554445
AT1G01160,AT1G01160.1,-0.8467720124919138,4.9717923199869265,0.16833166833166835
AT1G01160,AT1G01160.2,,4.9717923199869265,0.0
AT1G01160,AT1G01160_s1,-2.7793722261297287,4.9717923199869265,0.017982017982017984
AT1G01170,AT1G01170.1,-3.1983069017949157,4.796310979872891,0.011988011988012026
AT1G01170,AT1G01170.2,,4.796310979872891,0.0
AT1G01180,AT1G01180_P1,-0.7255396711990945,0.8989650792404952,0.22777222777222778
AT1G01190,AT1G01190_P2,0.09562495944717153,-0.4236311979753571,1.0
AT1G01200,AT1G01200_P1,,-0.8523426948947859,0.0
AT1G01210,AT1G01210_P3,-0.7764998110248129,4.320136626363373,0.18281718281718284
AT1G01220,AT1G01220_P1,-1.2230477347364608,2.769008631373712,0.13886113886113888
AT1G01220,AT1G01220_P2,,2.769008631373712,0.0
AT1G01220,AT1G01220_P3,,2.769008631373712,0.0
AT1G01220,AT1G01220_P4,0.04620975581883435,2.769008631373712,1.0
AT1G01220,AT1G01220_P5,,2.769008631373712,0.0
AT1G01220,AT1G01220_P6,,2.769008631373712,0.0
AT1G01220,AT1G01220_P7,,2.769008631373712,0.0
AT1G01220,AT1G01220_P8,,2.769008631373712,0.0
AT1G01225,AT1G01225_P1,0.6329877106484172,1.4882279927954452,0.24575424575424576
AT1G01230,AT1G01230_P1,-2.087742493233083,4.872282245256191,0.04095904095904096
AT1G01240,AT1G01240_P1,-1.8592329809365906,2.0830800042800997,0.05344655344655347
AT1G01240,AT1G01240_P2,,2.0830800042800997,0.0
AT1G01240,AT1G01240_P3,,2.0830800042800997,0.0
AT1G01240,AT1G01240_P4,,2.0830800042800997,0.0
AT1G01250,AT1G01250_P1,0.7245736619896379,0.3560321248890977,0.25024975024975027
AT1G01260,AT1G01260_ID2,0.9106620008059103,5.102262875843351,0.15434565434565434
AT1G01260,AT1G01260_P1,-1.140366919003894,5.102262875843351,0.1173826173826174
AT1G01260,AT1G01260_P3,1.5179000980363373,5.102262875843351,0.07392607392607392
AT1G01290,AT1G01290_P1,,3.5763376978667516,0.0
AT1G01290,AT1G01290_P2,-0.335713116593765,3.5763376978667516,1.0
AT1G01300,AT1G01300_P1,-1.3056880411980716,4.886255240508905,0.09590409590409593
AT1G01300,AT1G01300_s1,,4.886255240508905,0.0
AT1G01320,AT1G01320.1,,4.758347758843277,0.0
AT1G01320,AT1G01320.2,,4.758347758843277,0.0
AT1G01320,AT1G01320_ID7,,4.758347758843277,0.0
AT1G01320,AT1G01320_ID8,,4.758347758843277,0.0
AT1G01320,AT1G01320_JC2,-1.3597282422495915,4.758347758843277,0.0919080919080919
AT1G01320,AT1G01320_JC3,,4.758347758843277,0.0
AT1G01320,AT1G01320_JS4,,4.758347758843277,0.0
AT1G01320,AT1G01320_JS6,,4.758347758843277,0.0
AT1G01340,AT1G01340.1,,4.423755877441869,0.0
AT1G01340,AT1G01340_JS2,1.0155668823851645,4.423755877441869,0.13886113886113888
AT1G01340,AT1G01340_P2,2.7153538344379373,4.423755877441869,0.019480519480519487
AT1G01350,AT1G01350_P1,-0.7111310871802576,4.956200576294849,0.1953046953046953
AT1G01355,AT1G01355_P3,,-inf,0.0
AT1G01360,AT1G01360_P1,-0.10549474020357774,3.4359064781785977,1.0
AT1G01370,AT1G01370_P2,,0.8841822680708818,0.0
AT1G01370,AT1G01370_P3,-0.16353169773558168,0.8841822680708818,1.0
AT1G01380,AT1G01380.1,-0.6215388650243981,1.2489911463019294,0.24425574425574426
AT1G01390,AT1G01390_P2,,-1.121558674094295,0.0
AT1G01420,AT1G01420_P2,,-0.07997520297972244,0.0
AT1G01430,AT1G01430_ID2,0.07525486789100597,2.9144716923541667,1.0
AT1G01430,AT1G01430_P1,-3.6949679350607543,2.9144716923541667,0.006993006993007034
AT1G01440,AT1G01440_JC9,,3.44634352481957,0.0
AT1G01440,AT1G01440_P1,-0.24040225166363882,3.44634352481957,1.0
AT1G01448,AT1G01448_ID1,1.4298611594212864,3.4498222269437653,0.0839160839160839
AT1G01448,AT1G01448_ID2,1.4814489126128811,3.4498222269437653,0.07692307692307693
AT1G01448,AT1G01448_ID3,0.3178502491082231,3.4498222269437653,1.0
AT1G01448,AT1G01448_ID4,,3.4498222269437653,0.0
AT1G01448,AT1G01448_ID5,,3.4498222269437653,0.0
AT1G01448,AT1G01448_ID6,,3.4498222269437653,0.0
AT1G01453,AT1G01453_P1,,-inf,0.0
AT1G01470,AT1G01470_P1,0.27640308240891276,7.060893514961684,1.0
AT1G01471,AT1G01471.1,,-inf,0.0
AT1G01480,AT1G01480_P1,5.702671299526291,6.440697454104538,0.0009990009990010207
AT1G01490,AT1G01490_P1,-4.17091870346945,5.724716663802499,0.004995004995004992
AT1G01490,AT1G01490_P2,-1.0063119696957639,5.724716663802499,0.1413586413586414
AT1G01490,AT1G01490_P3,,5.724716663802499,0.0
AT1G01490,AT1G01490_c3,,5.724716663802499,0.0
AT1G01500,AT1G01500_P1,-0.9963764334924363,3.8004309768141025,0.14435564435564435
AT1G01510,AT1G01510.1,-0.5942652840023657,4.535494277989786,0.2282717282717283
AT1G01510,AT1G01510_c1,0.07023441136381026,4.535494277989786,1.0
AT1G01520,AT1G01520_P1,0.1643396435641702,0.15905639879565145,1.0
AT1G01520,AT1G01520_P4,,0.15905639879565145,0.0
AT1G01540,AT1G01540.1,-1.6306742184246126,6.262834381424553,0.06443556443556447
AT1G01540,AT1G01540_P2,0.1878637279597477,6.262834381424553,1.0
AT1G01550,AT1G01550_JS1,1.6770464686790356,8.729590359693681,0.059940059940059964
AT1G01550,AT1G01550_P1,0.08739429634608342,8.729590359693681,1.0
AT1G01550,AT1G01550_P2,2.549701670098215,8.729590359693681,0.021478521478521473
AT1G01550,AT1G01550_c1,,8.729590359693681,0.0
AT1G01560,AT1G01560_P2,4.761937286733607,4.827162673500504,0.0019980019980020414
AT1G01560,AT1G01560_P3,,4.827162673500504,0.0
AT1G01570,AT1G01570_P2,1.9840920607340582,1.1460498606655185,0.043956043956043966
AT1G01580,AT1G01580_P2,,-1.5946334037957834,0.0
AT1G01600,AT1G01600_P1,,0.7376239278796299,0.0
AT1G01610,AT1G01610_P1,-3.969875011706394,4.244803092856688,0.006493506493506496
AT1G01620,AT1G01620.2,,5.944665220280698,0.0
AT1G01620,AT1G01620_JC3,-2.887308151575904,5.944665220280698,0.014485514485514495
AT1G01620,AT1G01620_P1,-2.4100542177429736,5.944665220280698,0.02447552447552448
AT1G01630,AT1G01630.1,-3.012686712117883,4.434164265268906,0.01348651348651353
AT1G01640,AT1G01640.1,,0.7169848724698406,0.0
AT1G01640,AT1G01640.2,,0.7169848724698406,0.0
AT1G01650,AT1G01650.2,,5.273886631313776,0.0
AT1G01650,AT1G01650_ID24,,5.273886631313776,0.0
AT1G01650,AT1G01650_ID44,,5.273886631313776,0.0
AT1G01650,AT1G01650_JC1,,5.273886631313776,0.0
AT1G01650,AT1G01650_JC3,1.1527283926182625,5.273886631313776,0.11638361638361638
AT1G01650,AT1G01650_JS3,,5.273886631313776,0.0
AT1G01650,AT1G01650_P1,-0.04254342734869443,5.273886631313776,1.0
AT1G01650,AT1G01650_P2,0.5293142213450996,5.273886631313776,0.2532467532467533
AT1G01650,AT1G01650_P3,,5.273886631313776,0.0
AT1G01650,AT1G01650_s2,2.2058001467817014,5.273886631313776,0.035464535464535485
AT1G01650,AT1G01650_s3,2.1823037084386954,5.273886631313776,0.03696303696303699
AT1G01650,AT1G01650_s4,,5.273886631313776,0.0
AT1G01650,AT1G01650_s5,-0.22840418506503568,5.273886631313776,1.0
AT1G01670,AT1G01670_ID1,,0.7191812334702267,0.0
AT1G01670,AT1G01670_P1,1.497188996640766,0.7191812334702267,0.09440559440559443
AT1G01680,AT1G01680_P1,5.685642060664052,3.8987711129777622,0.0009990009990010207
AT1G01690,AT1G01690.1,,1.7328740589158143,0.0
AT1G01690,AT1G01690_P1,-0.4407402460979809,1.7328740589158143,1.0
AT1G01690,AT1G01690_P2,,1.7328740589158143,0.0
