gene,isoform,logFC,tpm_mean,pvalues
AT1G01010,AT1G01010.1,-0.1501169904269486,2.995012240823672,1.0
AT1G01020,AT1G01020_P1,0.6193524990410566,4.255784817266024,0.24025974025974028
AT1G01020,AT1G01020_P2,,4.255784817266024,0.0
AT1G01020,AT1G01020_P3,0.2861321738407029,4.255784817266024,1.0
AT1G01020,AT1G01020_P4,,4.255784817266024,0.0
AT1G01020,AT1G01020_P5,1.7098183859647547,4.255784817266024,0.059940059940059964
AT1G01030,AT1G01030.1,-0.5329015834717952,1.951689397547506,0.2347652347652348
AT1G01040,AT1G01040.2,,3.6211311905595798,0.0
AT1G01040,AT1G01040_P1,-0.2229880660969319,3.6211311905595798,1.0
AT1G01046,AT1G01046.1,0.6301281766758349,5.599987947170461,0.2382617382617383
AT1G01050,AT1G01050_P1,-0.22674343000003017,7.0087750562076065,1.0
AT1G01050,AT1G01050_P2,,7.0087750562076065,0.0
AT1G01050,AT1G01050_c1,,7.0087750562076065,0.0
AT1G01060,AT1G01060.2,,5.792692604477532,0.0
AT1G01060,AT1G01060.3,-0.8713645372101189,5.792692604477532,0.17882117882117882
AT1G01060,AT1G01060.4,-0.5141349416647198,5.792692604477532,0.2837162837162837
AT1G01060,AT1G01060.5,,5.792692604477532,0.0
AT1G01060,AT1G01060_ID6,,5.792692604477532,0.0
AT1G01060,AT1G01060_JS31,,5.792692604477532,0.0
AT1G01060,AT1G01060_P1,,5.792692604477532,0.0
AT1G01060,AT1G01060_P6,,5.792692604477532,0.0
AT1G01060,AT1G01060_P7,-0.1837503813202157,5.792692604477532,1.0
AT1G01070,AT1G01070_P1,-0.2989213719354056,2.6350816293035657,1.0
AT1G01070,AT1G01070_P2,,2.6350816293035657,0.0
AT1G01080,AT1G01080.2,,5.975031685673476,0.0
AT1G01080,AT1G01080_JS1,0.3531465752638637,5.975031685673476,1.0
AT1G01080,AT1G01080_P1,-0.4570076177231286,5.975031685673476,1.0
AT1G01080,AT1G01080_P3,0.21683911937861122,5.975031685673476,1.0
AT1G01090,AT1G01090_P1,-0.1992044579442691,7.055907396453223,1.0
AT1G01100,AT1G01100_P1,-0.12335886968186927,7.9953235064757795,1.0
AT1G01100,AT1G01100_P2,-0.5341445817012103,7.9953235064757795,0.2752247752247752
AT1G01100,AT1G01100_P3,-0.018249589825223733,7.9953235064757795,1.0
AT1G01100,AT1G01100_P4,,7.9953235064757795,0.0
AT1G01110,AT1G01110_P1,,1.929151036801676,0.0
AT1G01110,AT1G01110_P2,0.49907236726020865,1.929151036801676,1.0
AT1G01110,AT1G01110_s1,,1.929151036801676,0.0
AT1G01120,AT1G01120_P1,0.493238795777474,5.455380258945609,1.0
AT1G01120,AT1G01120_s1,,5.455380258945609,0.0
AT1G01130,AT1G01130.1,0.2775080836392745,2.6248594321136847,1.0
AT1G01130,AT1G01130_ID1,-0.20341664091971712,2.6248594321136847,1.0
AT1G01140,AT1G01140.2,,5.083148911139894,0.0
AT1G01140,AT1G01140.3,,5.083148911139894,0.0
AT1G01140,AT1G01140_ID2,,5.083148911139894,0.0
