gene,isoform,logFC,tpm_mean,pvalues
AT1G01010,AT1G01010.1,1.4399378414628066,3.79003965676855,0.07692307692307693
AT1G01020,AT1G01020_P1,0.17896916579062738,4.398216255479545,1.0
AT1G01020,AT1G01020_P2,,4.398216255479545,0.0
AT1G01020,AT1G01020_P3,0.6253880532259689,4.398216255479545,0.2257742257742258
AT1G01020,AT1G01020_P4,,4.398216255479545,0.0
AT1G01020,AT1G01020_P5,2.524852665529135,4.398216255479545,0.030469530469530492
AT1G01030,AT1G01030.1,,0.747331620854132,0.0
AT1G01040,AT1G01040.2,,3.32825293666985,0.0
AT1G01040,AT1G01040_P1,-0.5513635131067725,3.32825293666985,0.2522477522477522
AT1G01046,AT1G01046.1,-1.3702157342427244,4.599815991711181,0.08291708291708294
AT1G01050,AT1G01050_P1,-0.9090627130488214,6.67083797735563,0.14535464535464537
AT1G01050,AT1G01050_P2,,6.67083797735563,0.0
AT1G01050,AT1G01050_c1,,6.67083797735563,0.0
AT1G01060,AT1G01060.2,-0.2786609324884852,5.855338298142991,1.0
AT1G01060,AT1G01060.3,-2.5644963778153103,5.855338298142991,0.029470529470529472
AT1G01060,AT1G01060.4,-0.15909135527817853,5.855338298142991,1.0
AT1G01060,AT1G01060.5,,5.855338298142991,0.0
AT1G01060,AT1G01060_ID6,,5.855338298142991,0.0
AT1G01060,AT1G01060_JS31,,5.855338298142991,0.0
AT1G01060,AT1G01060_P1,2.7278256084760057,5.855338298142991,0.026973026973027003
AT1G01060,AT1G01060_P6,,5.855338298142991,0.0
AT1G01060,AT1G01060_P7,-0.6780836960360364,5.855338298142991,0.2097902097902098
AT1G01070,AT1G01070_P1,-0.4023921074429815,2.581681073748425,1.0
AT1G01070,AT1G01070_P2,,2.581681073748425,0.0
AT1G01080,AT1G01080.2,,4.971967045193895,0.0
AT1G01080,AT1G01080_JS1,0.5512202408980126,4.971967045193895,0.2522477522477522
AT1G01080,AT1G01080_P1,-2.8196687128013123,4.971967045193895,0.0254745254745255
AT1G01080,AT1G01080_P3,-1.7183501490949997,4.971967045193895,0.05944055944055948
AT1G01090,AT1G01090_P1,-2.1536547885508277,6.078682231149944,0.04045954045954048
AT1G01100,AT1G01100_P1,-0.41037256687239587,7.922906967278091,1.0
AT1G01100,AT1G01100_P2,-0.6868289390871247,7.922906967278091,0.20679320679320679
AT1G01100,AT1G01100_P3,-0.6200775493310622,7.922906967278091,0.22627372627372627
AT1G01100,AT1G01100_P4,,7.922906967278091,0.0
AT1G01110,AT1G01110_P1,,-0.32905743073795657,0.0
AT1G01110,AT1G01110_P2,,-0.32905743073795657,0.0
